nounsAllCount,nounsAllIndex
"('고객', 90112)","('고객', 1)"
"('확인', 51350)","('확인', 2)"
"('지금', 38356)","('지금', 3)"
"('저희', 31855)","('저희', 4)"
"('취소', 29514)","('취소', 5)"
"('번호', 28464)","('번호', 6)"
"('여권', 23921)","('여권', 7)"
"('말씀', 22918)","('말씀', 8)"
"('주문', 21634)","('주문', 9)"
"('이제', 19419)","('이제', 10)"
"('상품', 19077)","('상품', 11)"
"('출국', 18872)","('출국', 12)"
"('혹시', 17410)","('혹시', 13)"
"('변경', 16173)","('변경', 14)"
"('잠시', 16156)","('잠시', 15)"
"('구매', 15926)","('구매', 16)"
"('아이디', 15853)","('아이디', 17)"
"('한번', 13346)","('한번', 18)"
"('정보', 13267)","('정보', 19)"
"('드릴', 12655)","('드릴', 20)"
"('등록', 11916)","('등록', 21)"
"('시간', 11805)","('시간', 22)"
"('결제', 11551)","('결제', 23)"
"('포인트', 11492)","('포인트', 24)"
"('다시', 11398)","('다시', 25)"
"('회원', 11176)","('회원', 26)"
"('때문', 10906)","('때문', 27)"
"('본인', 10825)","('본인', 28)"
"('카드', 10773)","('카드', 29)"
"('그거', 10736)","('그거', 30)"
"('하루', 10486)","('하루', 31)"
"('사용', 10174)","('사용', 32)"
"('가지', 10111)","('가지', 33)"
"('인도', 10038)","('인도', 34)"
"('전화', 9446)","('전화', 35)"
"('경우', 9364)","('경우', 36)"
"('매장', 9353)","('매장', 37)"
"('하나', 8464)","('하나', 38)"
"('부분', 7800)","('부분', 39)"
"('성함', 7579)","('성함', 40)"
"('무엇', 7415)","('무엇', 41)"
"('바로', 7255)","('바로', 42)"
"('진행', 6805)","('진행', 43)"
"('안내', 6664)","('안내', 44)"
"('그게', 6642)","('그게', 45)"
"('문의', 6602)","('문의', 46)"
"('거기', 6584)","('거기', 47)"
"('아예', 6553)","('아예', 48)"
"('쿠폰', 6544)","('쿠폰', 49)"
"('일단', 6522)","('일단', 50)"
"('그냥', 6426)","('그냥', 51)"
"('적립금', 6418)","('적립금', 52)"
"('오늘', 6310)","('오늘', 53)"
"('이용', 6280)","('이용', 54)"
"('금액', 6274)","('금액', 55)"
"('로그인', 6116)","('로그인', 56)"
"('교환', 5969)","('교환', 57)"
"('다른', 5798)","('다른', 58)"
"('제품', 5736)","('제품', 59)"
"('공항', 5615)","('공항', 60)"
"('문건', 5589)","('문건', 61)"
"('연락', 5537)","('연락', 62)"
"('건가', 5519)","('건가', 63)"
"('만약', 5404)","('만약', 64)"
"('십이월', 5402)","('십이월', 65)"
"('부탁', 5353)","('부탁', 66)"
"('입력', 5287)","('입력', 67)"
"('다음', 5092)","('다음', 68)"
"('문자', 5009)","('문자', 69)"
"('생년', 4892)","('생년', 70)"
"('주시', 4842)","('주시', 71)"
"('조회', 4825)","('조회', 72)"
"('오프라인', 4756)","('오프라인', 73)"
"('일정', 4710)","('일정', 74)"
"('완료', 4694)","('완료', 75)"
"('브랜드', 4657)","('브랜드', 76)"
"('가요', 4656)","('가요', 77)"
"('우선', 4607)","('우선', 78)"
"('월일', 4563)","('월일', 79)"
"('물건', 4555)","('물건', 80)"
"('정도', 4528)","('정도', 81)"
"('러시', 4498)","('러시', 82)"
"('명동', 4332)","('명동', 83)"
"('여기', 4239)","('여기', 84)"
"('가입', 4205)","('가입', 85)"
"('내일', 4199)","('내일', 86)"
"('거세', 4184)","('거세', 87)"
"('저기', 4158)","('저기', 88)"
"('이세', 3960)","('이세', 89)"
"('날짜', 3940)","('날짜', 90)"
"('먼저', 3858)","('먼저', 91)"
"('할인', 3854)","('할인', 92)"
"('수가', 3854)","('수가', 93)"
"('등급', 3808)","('등급', 94)"
"('통합', 3799)","('통합', 95)"
"('선불카드', 3776)","('선불카드', 96)"
"('처리', 3642)","('처리', 97)"
"('주신', 3579)","('주신', 98)"
"('현재', 3558)","('현재', 99)"
"('센터', 3546)","('센터', 100)"
"('온라인', 3535)","('온라인', 101)"
"('도장', 3472)","('도장', 102)"
"('거구', 3437)","('거구', 103)"
"('기간', 3407)","('기간', 104)"
"('인천공항', 3393)","('인천공항', 105)"
"('이요', 3382)","('이요', 106)"
"('접수', 3347)","('접수', 107)"
"('상태', 3324)","('상태', 108)"
"('해당', 3323)","('해당', 109)"
"('월드', 3319)","('월드', 110)"
"('어디', 3306)","('어디', 111)"
"('본점', 3175)","('본점', 112)"
"('브이', 3175)","('브이', 113)"
"('아아', 3160)","('아아', 114)"
"('면세', 3129)","('면세', 115)"
"('요청', 3105)","('요청', 116)"
"('오전', 2932)","('오전', 117)"
"('도착', 2928)","('도착', 118)"
"('이상', 2896)","('이상', 119)"
"('지점', 2836)","('지점', 120)"
"('에스', 2802)","('에스', 121)"
"('내용', 2798)","('내용', 122)"
"('신청', 2788)","('신청', 123)"
"('휴대폰', 2753)","('휴대폰', 124)"
"('타워', 2725)","('타워', 125)"
"('인천', 2709)","('인천', 126)"
"('조금', 2708)","('조금', 127)"
"('아이피', 2668)","('아이피', 128)"
"('환불', 2648)","('환불', 129)"
"('복원', 2614)","('복원', 130)"
"('비밀번호', 2612)","('비밀번호', 131)"
"('보시', 2562)","('보시', 132)"
"('언제', 2482)","('언제', 133)"
"('부산', 2466)","('부산', 134)"
"('대해', 2465)","('대해', 135)"
"('출발', 2401)","('출발', 136)"
"('이십', 2397)","('이십', 137)"
"('아마', 2380)","('아마', 138)"
"('적용', 2380)","('적용', 139)"
"('계속', 2368)","('계속', 140)"
"('유효', 2333)","('유효', 141)"
"('감사', 2310)","('감사', 142)"
"('수도', 2307)","('수도', 143)"
"('이벤트', 2293)","('이벤트', 144)"
"('소요', 2269)","('소요', 145)"
"('아이', 2243)","('아이', 146)"
"('직접', 2243)","('직접', 147)"
"('김해', 2239)","('김해', 148)"
"('개인정보', 2237)","('개인정보', 149)"
"('가능', 2226)","('가능', 150)"
"('이동', 2216)","('이동', 151)"
"('터미널', 2211)","('터미널', 152)"
"('세관', 2209)","('세관', 153)"
"('혜택', 2170)","('혜택', 154)"
"('핸드폰', 2156)","('핸드폰', 155)"
"('재고', 2141)","('재고', 156)"
"('비행기', 2133)","('비행기', 157)"
"('발송', 2123)","('발송', 158)"
"('아홉', 2104)","('아홉', 159)"
"('일이', 2102)","('일이', 160)"
"('기준', 2100)","('기준', 161)"
"('에이', 2084)","('에이', 162)"
"('그때', 2082)","('그때', 163)"
"('이름', 2082)","('이름', 164)"
"('보고', 2075)","('보고', 165)"
"('방문', 2051)","('방문', 166)"
"('승인', 2032)","('승인', 167)"
"('입점', 2030)","('입점', 168)"
"('반품', 2030)","('반품', 169)"
"('일월', 2014)","('일월', 170)"
"('상담', 2011)","('상담', 171)"
"('잠깐', 2004)","('잠깐', 172)"
"('오후', 1997)","('오후', 173)"
"('여덟', 1994)","('여덟', 174)"
"('방법', 1989)","('방법', 175)"
"('이구', 1977)","('이구', 176)"
"('증정', 1973)","('증정', 177)"
"('시구', 1971)","('시구', 178)"
"('공이', 1963)","('공이', 179)"
"('코엑스', 1962)","('코엑스', 180)"
"('케이', 1952)","('케이', 181)"
"('티켓', 1932)","('티켓', 182)"
"('선택', 1907)","('선택', 183)"
"('어제', 1855)","('어제', 184)"
"('마이', 1840)","('마이', 185)"
"('신고', 1839)","('신고', 186)"
"('연결', 1830)","('연결', 187)"
"('원래', 1828)","('원래', 188)"
"('문제', 1819)","('문제', 189)"
"('수령', 1815)","('수령', 190)"
"('항공', 1721)","('항공', 191)"
"('예정', 1719)","('예정', 192)"
"('상관', 1711)","('상관', 193)"
"('전체', 1665)","('전체', 194)"
"('구입', 1663)","('구입', 195)"
"('화장품', 1660)","('화장품', 196)"
"('시점', 1622)","('시점', 197)"
"('위해', 1613)","('위해', 198)"
"('이번', 1610)","('이번', 199)"
"('그대로', 1609)","('그대로', 200)"
"('해주시', 1606)","('해주시', 201)"
"('이천', 1600)","('이천', 202)"
"('모바일', 1590)","('모바일', 203)"
"('전화번호', 1584)","('전화번호', 204)"
"('주소', 1583)","('주소', 205)"
"('여행', 1534)","('여행', 206)"
"('통화', 1529)","('통화', 207)"
"('메일', 1527)","('메일', 208)"
"('에이치', 1507)","('에이치', 209)"
"('페이지', 1503)","('페이지', 210)"
"('인증', 1492)","('인증', 211)"
"('제이', 1482)","('제이', 212)"
"('행사', 1472)","('행사', 213)"
"('프로', 1464)","('프로', 214)"
"('저녁', 1445)","('저녁', 215)"
"('항공사', 1443)","('항공사', 216)"
"('삼십분', 1425)","('삼십분', 217)"
"('자체', 1407)","('자체', 218)"
"('잘못', 1403)","('잘못', 219)"
"('홈페이지', 1390)","('홈페이지', 220)"
"('수고', 1379)","('수고', 221)"
"('플러스', 1379)","('플러스', 222)"
"('계정', 1378)","('계정', 223)"
"('이메일', 1375)","('이메일', 224)"
"('얘기', 1364)","('얘기', 225)"
"('골드', 1335)","('골드', 226)"
"('얼마', 1331)","('얼마', 227)"
"('추가', 1325)","('추가', 228)"
"('코드', 1322)","('코드', 229)"
"('숫자', 1317)","('숫자', 230)"
"('그것', 1317)","('그것', 231)"
"('체크', 1309)","('체크', 232)"
"('사이트', 1304)","('사이트', 233)"
"('찾기', 1287)","('찾기', 234)"
"('가방', 1280)","('가방', 235)"
"('달라', 1269)","('달라', 236)"
"('자리', 1267)","('자리', 237)"
"('십일월', 1262)","('십일월', 238)"
"('당일', 1260)","('당일', 239)"
"('피씨', 1260)","('피씨', 240)"
"('시작', 1257)","('시작', 241)"
"('이후', 1243)","('이후', 242)"
"('동의', 1237)","('동의', 243)"
"('검색', 1226)","('검색', 244)"
"('보통', 1213)","('보통', 245)"
"('수신', 1207)","('수신', 246)"
"('발급', 1193)","('발급', 247)"
"('사진', 1176)","('사진', 248)"
"('두건', 1164)","('두건', 249)"
"('삭제', 1160)","('삭제', 250)"
"('이기', 1152)","('이기', 251)"
"('제외', 1151)","('제외', 252)"
"('삼십', 1150)","('삼십', 253)"
"('제트', 1143)","('제트', 254)"
"('처음', 1140)","('처음', 255)"
"('여러', 1126)","('여러', 256)"
"('남아', 1103)","('남아', 257)"
"('따라서', 1094)","('따라서', 258)"
"('클릭', 1094)","('클릭', 259)"
"('카카오', 1089)","('카카오', 260)"
"('판매', 1088)","('판매', 261)"
"('나머지', 1079)","('나머지', 262)"
"('장바구니', 1075)","('장바구니', 263)"
"('아침', 1064)","('아침', 264)"
"('백화점', 1062)","('백화점', 265)"
"('해외', 1050)","('해외', 266)"
"('직원', 1044)","('직원', 267)"
"('수정', 1042)","('수정', 268)"
"('일반', 1041)","('일반', 269)"
"('복구', 1039)","('복구', 270)"
"('정상', 1030)","('정상', 271)"
"('페이', 1024)","('페이', 272)"
"('미리', 1024)","('미리', 273)"
"('반입', 1023)","('반입', 274)"
"('운영', 1022)","('운영', 275)"
"('데스크', 1018)","('데스크', 276)"
"('다운', 1006)","('다운', 277)"
"('기본', 1005)","('기본', 278)"
"('자동', 996)","('자동', 279)"
"('경유', 987)","('경유', 280)"
"('탈퇴', 987)","('탈퇴', 281)"
"('서울', 982)","('서울', 282)"
"('일곱', 975)","('일곱', 283)"
"('관련', 973)","('관련', 284)"
"('오일', 970)","('오일', 285)"
"('품절', 967)","('품절', 286)"
"('물어', 962)","('물어', 287)"
"('메모', 956)","('메모', 288)"
"('사항', 956)","('사항', 289)"
"('건데', 950)","('건데', 290)"
"('영업일', 946)","('영업일', 291)"
"('왜냐면', 940)","('왜냐면', 292)"
"('모두', 927)","('모두', 293)"
"('삼이', 922)","('삼이', 294)"
"('한도', 920)","('한도', 295)"
"('시오', 918)","('시오', 296)"
"('최대', 917)","('최대', 297)"
"('열시', 914)","('열시', 298)"
"('삼일', 907)","('삼일', 299)"
"('해도', 901)","('해도', 300)"
"('십분', 900)","('십분', 301)"
"('달러', 892)","('달러', 302)"
"('담배', 883)","('담배', 303)"
"('중복', 880)","('중복', 304)"
"('사이즈', 875)","('사이즈', 305)"
"('수단', 861)","('수단', 306)"
"('오구', 861)","('오구', 307)"
"('사은', 851)","('사은', 308)"
"('일자', 850)","('일자', 309)"
"('예전', 850)","('예전', 310)"
"('여부', 849)","('여부', 311)"
"('어플', 848)","('어플', 312)"
"('육십', 846)","('육십', 313)"
"('주류', 845)","('주류', 314)"
"('한국', 844)","('한국', 315)"
"('나중', 838)","('나중', 316)"
"('무슨', 834)","('무슨', 317)"
"('개별', 834)","('개별', 318)"
"('전용', 832)","('전용', 319)"
"('시기', 830)","('시기', 320)"
"('국적', 824)","('국적', 321)"
"('연락처', 824)","('연락처', 322)"
"('고요', 822)","('고요', 323)"
"('휴면', 821)","('휴면', 324)"
"('물류', 811)","('물류', 325)"
"('전산', 804)","('전산', 326)"
"('십일', 803)","('십일', 327)"
"('주차', 803)","('주차', 328)"
"('제주', 798)","('제주', 329)"
"('며칠', 794)","('며칠', 330)"
"('사람', 791)","('사람', 331)"
"('적립', 791)","('적립', 332)"
"('열한', 787)","('열한', 333)"
"('오류', 786)","('오류', 334)"
"('삼백', 784)","('삼백', 335)"
"('잠실', 783)","('잠실', 336)"
"('더블유', 778)","('더블유', 337)"
"('멤버십', 778)","('멤버십', 338)"
"('식품', 772)","('식품', 339)"
"('육백', 771)","('육백', 340)"
"('일주일', 769)","('일주일', 341)"
"('영문', 767)","('영문', 342)"
"('일일', 761)","('일일', 343)"
"('이면', 759)","('이면', 344)"
"('최종', 758)","('최종', 345)"
"('러신', 757)","('러신', 346)"
"('플래티늄', 750)","('플래티늄', 347)"
"('기존', 745)","('기존', 348)"
"('전달', 745)","('전달', 349)"
"('가격', 742)","('가격', 350)"
"('화면', 742)","('화면', 351)"
"('방금', 738)","('방금', 352)"
"('오십분', 732)","('오십분', 353)"
"('도움', 728)","('도움', 354)"
"('아웃', 726)","('아웃', 355)"
"('알림', 726)","('알림', 356)"
"('라면', 720)","('라면', 357)"
"('칠이', 720)","('칠이', 358)"
"('공구', 719)","('공구', 359)"
"('별로', 719)","('별로', 360)"
"('상품권', 719)","('상품권', 361)"
"('공공', 719)","('공공', 362)"
"('상황', 717)","('상황', 363)"
"('이백', 716)","('이백', 364)"
"('팔일', 713)","('팔일', 365)"
"('일로', 706)","('일로', 366)"
"('제휴', 704)","('제휴', 367)"
"('전날', 703)","('전날', 368)"
"('한해', 701)","('한해', 369)"
"('주점', 697)","('주점', 370)"
"('박효진', 688)","('박효진', 371)"
"('준비', 680)","('준비', 372)"
"('국제', 680)","('국제', 373)"
"('육이', 678)","('육이', 374)"
"('계좌', 675)","('계좌', 375)"
"('이주', 674)","('이주', 376)"
"('대한', 670)","('대한', 377)"
"('이건', 668)","('이건', 378)"
"('팔이', 666)","('팔이', 379)"
"('여덟시', 665)","('여덟시', 380)"
"('하나요', 663)","('하나요', 381)"
"('물품', 660)","('물품', 382)"
"('포함', 652)","('포함', 383)"
"('어쨌든', 652)","('어쨌든', 384)"
"('박연', 651)","('박연', 385)"
"('통해', 650)","('통해', 386)"
"('제일', 650)","('제일', 387)"
"('게이트', 648)","('게이트', 388)"
"('출고', 638)","('출고', 389)"
"('중국', 637)","('중국', 390)"
"('제한', 634)","('제한', 391)"
"('생각', 634)","('생각', 392)"
"('상세', 633)","('상세', 393)"
"('여섯', 632)","('여섯', 394)"
"('요게', 629)","('요게', 395)"
"('거나', 629)","('거나', 396)"
"('모든', 629)","('모든', 397)"
"('편이', 627)","('편이', 398)"
"('두시', 626)","('두시', 399)"
"('실버', 626)","('실버', 400)"
"('입국', 625)","('입국', 401)"
"('포장', 621)","('포장', 402)"
"('인제', 615)","('인제', 403)"
"('새벽', 613)","('새벽', 404)"
"('공일', 613)","('공일', 405)"
"('로그', 609)","('로그', 406)"
"('답변', 609)","('답변', 407)"
"('기억', 609)","('기억', 408)"
"('설정', 606)","('설정', 409)"
"('십오', 605)","('십오', 410)"
"('일부', 602)","('일부', 411)"
"('오공', 599)","('오공', 412)"
"('여섯시', 593)","('여섯시', 413)"
"('중이', 592)","('중이', 414)"
"('쇼핑', 592)","('쇼핑', 415)"
"('공사', 592)","('공사', 416)"
"('황소', 592)","('황소', 417)"
"('사이', 585)","('사이', 418)"
"('오백', 583)","('오백', 419)"
"('버튼', 583)","('버튼', 420)"
"('전부', 582)","('전부', 421)"
"('일육팔팔', 575)","('일육팔팔', 422)"
"('칠일', 575)","('칠일', 423)"
"('구구', 574)","('구구', 424)"
"('배우자', 572)","('배우자', 425)"
"('신용카드', 570)","('신용카드', 426)"
"('육일', 567)","('육일', 427)"
"('이은정', 566)","('이은정', 428)"
"('탑승', 563)","('탑승', 429)"
"('실제', 556)","('실제', 430)"
"('시계', 555)","('시계', 431)"
"('시내', 554)","('시내', 432)"
"('실적', 548)","('실적', 433)"
"('전혀', 539)","('전혀', 434)"
"('시도', 539)","('시도', 435)"
"('오현정', 537)","('오현정', 436)"
"('김하나', 537)","('김하나', 437)"
"('엑스', 536)","('엑스', 438)"
"('이십일', 536)","('이십일', 439)"
"('사십분', 536)","('사십분', 440)"
"('다섯', 531)","('다섯', 441)"
"('즉시', 530)","('즉시', 442)"
"('삼천', 530)","('삼천', 443)"
"('라서', 529)","('라서', 444)"
"('접속', 529)","('접속', 445)"
"('십이', 528)","('십이', 446)"
"('시월', 528)","('시월', 447)"
"('정말', 528)","('정말', 448)"
"('최고은', 527)","('최고은', 449)"
"('대로', 526)","('대로', 450)"
"('만료', 526)","('만료', 451)"
"('이십사', 526)","('이십사', 452)"
"('이내', 525)","('이내', 453)"
"('국내', 525)","('국내', 454)"
"('보관', 523)","('보관', 455)"
"('네이버', 523)","('네이버', 456)"
"('월요일', 522)","('월요일', 457)"
"('김소희', 522)","('김소희', 458)"
"('영수증', 521)","('영수증', 459)"
"('비밀', 521)","('비밀', 460)"
"('위치', 520)","('위치', 461)"
"('반영', 518)","('반영', 462)"
"('명의', 517)","('명의', 463)"
"('다만', 511)","('다만', 464)"
"('조건', 509)","('조건', 465)"
"('이전', 505)","('이전', 466)"
"('그네', 504)","('그네', 467)"
"('삼십오분', 504)","('삼십오분', 468)"
"('대체', 504)","('대체', 469)"
"('만원', 503)","('만원', 470)"
"('단계', 503)","('단계', 471)"
"('이이', 499)","('이이', 472)"
"('개인', 499)","('개인', 473)"
"('액체', 499)","('액체', 474)"
"('안녕하십니까', 498)","('안녕하십니까', 475)"
"('자꾸', 497)","('자꾸', 476)"
"('사월', 497)","('사월', 477)"
"('오번', 496)","('오번', 478)"
"('아무', 491)","('아무', 479)"
"('삼사', 491)","('삼사', 480)"
"('원본', 489)","('원본', 481)"
"('표시', 488)","('표시', 482)"
"('오분', 487)","('오분', 483)"
"('미인도', 484)","('미인도', 484)"
"('직항', 484)","('직항', 485)"
"('제주도', 482)","('제주도', 486)"
"('품목', 481)","('품목', 487)"
"('최근', 481)","('최근', 488)"
"('선불', 481)","('선불', 489)"
"('우리', 478)","('우리', 490)"
"('택배', 478)","('택배', 491)"
"('배럴', 477)","('배럴', 492)"
"('전이', 471)","('전이', 493)"
"('계세', 471)","('계세', 494)"
"('신규', 471)","('신규', 495)"
"('한미', 470)","('한미', 496)"
"('철회', 470)","('철회', 497)"
"('불편', 469)","('불편', 498)"
"('입금', 468)","('입금', 499)"
